x,y,z,shale5Thickness,shale1Thickness,shale2Thickness,shale3Thickness,shale4Thickness,aquifer1Thickness,aquifer2Thickness,aquifer3Thickness,aquifer4Thickness,reservoirThickness
160000,4335092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4350092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4402039.405,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4485362.734,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4335092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4335092.494,-1268.461166,556.1611664,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4335092.494,-1869.316759,1157.016759,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4350092.494,-1807.062883,1094.762883,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4402039.405,-1710.657996,998.357996,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4485362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4335092.494,-1807.062883,1094.762883,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4500362.734,-855.4126656,143.1126656,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4500362.734,-1268.461166,556.1611664,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4500362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4500362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4500362.734,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4350092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4350092.494,-897.9222072,185.6222072,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4350092.494,-995.0482512,282.7482512,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4350092.494,-1077.377474,365.0774744,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4350092.494,-1174.321858,462.0218576,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4350092.494,-1268.461166,556.1611664,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4350092.494,-1374.010358,661.7103584,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4350092.494,-1503.40375,791.1037496,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4350092.494,-1639.313765,927.0137648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4350092.494,-1779.530909,1067.230909,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4350092.494,-1921.602151,1209.302151,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4365332.494,-865.1043912,152.8043912,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4365332.494,-941.8728432,229.5728432,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4365332.494,-1029.154457,316.8544568,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4365332.494,-1099.061861,386.7618608,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4365332.494,-1181.574878,469.2748784,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4365332.494,-1262.968975,550.6689752,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4365332.494,-1350.851654,638.5516544,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4365332.494,-1470.361906,758.0619056,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4365332.494,-1602.055318,889.7553176,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4365332.494,-1734.621067,1022.321067,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4365332.494,-1869.316759,1157.016759,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4380572.494,-976.5161064,264.2161064,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4380572.494,-1057.482569,345.1825688,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4380572.494,-1118.244144,405.944144,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4380572.494,-1191.848467,479.5484672,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4380572.494,-1262.537683,550.2376832,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4380572.494,-1336.677845,624.3778448,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4380572.494,-1448.291642,735.9916424,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4380572.494,-1567.624195,855.3241952,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4380572.494,-1686.709555,974.4095552,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4380572.494,-1807.062883,1094.762883,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4391070.415,-990.8996184,278.5996184,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4391070.415,-1069.734614,357.4346144,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4391070.415,-1123.257494,410.9574944,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4391070.415,-1192.11029,479.8102904,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4391070.415,-1258.711834,546.4118336,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4391070.415,-1326.514594,614.2145936,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4391070.415,-1432.684358,720.3843584,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4391070.415,-1542.154802,829.8548024,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4391070.415,-1650.773635,938.4736352,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4391070.415,-1759.88472,1047.58472,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4402039.405,-993.2188416,280.9188416,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4402039.405,-1073.028588,360.728588,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4402039.405,-1124.131661,411.8316608,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4402039.405,-1187.026531,474.7265312,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4402039.405,-1245.218338,532.9183376,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4402039.405,-1305.586111,593.2861112,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4402039.405,-1402.885891,690.5858912,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4402039.405,-1501.940405,789.6404048,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4402039.405,-1602.931618,890.6316176,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4402039.405,-1710.657996,998.357996,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4412165.014,-926.0162328,213.7162328,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4412165.014,-1006.737331,294.4373312,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4412165.014,-1080.234365,367.9343648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4412165.014,-1127.539934,415.2399344,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4412165.014,-1181.462102,469.1621024,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4412165.014,-1232.194234,519.8942336,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4412165.014,-1285.070938,572.7709376,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4412165.014,-1373.478787,661.1787872,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4412165.014,-1464.993158,752.6931584,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4412165.014,-1558.923679,846.6236792,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4412165.014,-1662.039043,949.7390432,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4424212.081,-933.8764152,221.5764152,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4424212.081,-1011.825967,299.5259672,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4424212.081,-1075.299653,362.9996528,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4424212.081,-1118.101193,405.8011928,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4424212.081,-1162.601688,450.301688,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4424212.081,-1205.944858,493.6448576,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4424212.081,-1260.746678,548.4466784,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4424212.081,-1347.81036,635.51036,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4424212.081,-1431.347506,719.0475056,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4424212.081,-1514.173248,801.873248,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4424212.081,-1606.906819,894.6068192,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4439642.734,-915.0702552,202.7702552,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4439642.734,-994.025952,281.725952,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4439642.734,-1054.50955,342.2095496,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4439642.734,-1092.481838,380.1818384,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4439642.734,-1130.529108,418.229108,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4439642.734,-1169.301192,457.001192,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4439642.734,-1224.492547,512.1925472,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4439642.734,-1306.786109,594.4861088,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4439642.734,-1377.642965,665.3429648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4439642.734,-1451.626764,739.326764,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4439642.734,-1540.619525,828.3195248,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4454882.734,-890.9633184,178.6633184,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4454882.734,-966.034644,253.734644,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4454882.734,-1028.178182,315.8781824,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4454882.734,-1063.813265,351.5132648,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4454882.734,-1098.739687,386.4396872,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4454882.734,-1134.810634,422.5106336,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4454882.734,-1186.066106,473.7661064,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4454882.734,-1258.456716,546.156716,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4454882.734,-1322.477213,610.1772128,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4454882.734,-1389.597221,677.2972208,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4454882.734,-1467.440398,755.1403976,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4470122.734,-874.428528,162.128528,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4470122.734,-940.350672,228.050672,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4470122.734,-996.9715392,284.6715392,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4470122.734,-1030.848535,318.5485352,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4470122.734,-1064.266502,351.9665024,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4470122.734,-1099.25297,386.9529704,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4470122.734,-1146.583838,434.2838384,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4470122.734,-1209.912439,497.6124392,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4470122.734,-1270.309778,558.0097784,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4470122.734,-1332.029645,619.7296448,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4470122.734,-1393.627286,681.3272864,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4485362.734,-855.4126656,143.1126656,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4485362.734,-911.96922,199.66922,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4485362.734,-963.462132,251.162132,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4485362.734,-996.2214264,283.9214264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
228689.9084,4485362.734,-1028.845085,316.5450848,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4485362.734,-1062.256956,349.956956,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
250862.3802,4485362.734,-1105.986917,393.6869168,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
266293.092,4485362.734,-1163.712074,451.4120744,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
281533.092,4485362.734,-1220.557884,508.257884,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
296773.092,4485362.734,-1278.004454,565.7044544,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4485362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
